sender, sequence, rssi
192.168.4.5, 44448, -62
192.168.4.5, 44464, -60
192.168.4.5, 44480, -61
192.168.4.5, 44512, -58
192.168.4.5, 44528, -59
192.168.4.5, 44544, -61
192.168.4.5, 44560, -58
192.168.4.5, 44576, -58
192.168.4.5, 44608, -61
192.168.4.5, 44640, -60
192.168.4.5, 44656, -62
192.168.4.5, 44672, -61
192.168.4.5, 44688, -62
192.168.4.5, 44704, -62
192.168.4.5, 44736, -64
192.168.4.5, 44752, -65
192.168.4.5, 44768, -61
192.168.4.5, 44816, -64
192.168.4.5, 44832, -61
192.168.4.5, 44864, -61
192.168.4.5, 44880, -61
192.168.4.5, 44896, -61
192.168.4.5, 44928, -62
192.168.4.5, 44944, -61
192.168.4.5, 44960, -59
192.168.4.5, 44976, -59
192.168.4.5, 44992, -60
192.168.4.5, 45008, -59
192.168.4.12, 29280, -34
192.168.4.12, 29312, -35
192.168.4.12, 29344, -36
192.168.4.12, 29360, -37
192.168.4.12, 29376, -34
192.168.4.12, 29408, -39
192.168.4.12, 29424, -37
192.168.4.12, 29472, -36
192.168.4.12, 29504, -38
192.168.4.12, 29520, -37
192.168.4.12, 29536, -37
192.168.4.12, 29552, -36
192.168.4.12, 29568, -36
192.168.4.12, 29584, -35
192.168.4.12, 29600, -35
192.168.4.12, 29632, -36
192.168.4.12, 29648, -36
192.168.4.12, 29664, -36
192.168.4.12, 29696, -35
192.168.4.12, 29712, -36
192.168.4.12, 29728, -37
192.168.4.12, 29744, -36
192.168.4.12, 29760, -36
192.168.4.12, 29776, -35
192.168.4.12, 29824, -36
192.168.4.12, 29840, -35
192.168.4.12, 29872, -36
192.168.4.12, 29888, -38
192.168.4.12, 29920, -35
192.168.4.12, 30000, -38
192.168.4.7, 46000, -57
192.168.4.7, 46048, -56
192.168.4.7, 46096, -57
192.168.4.7, 46112, -59
192.168.4.7, 46128, -59
192.168.4.7, 46144, -59
192.168.4.7, 46160, -60
192.168.4.7, 46176, -61
192.168.4.7, 46192, -61
192.168.4.7, 46208, -60
192.168.4.7, 46224, -61
192.168.4.7, 46256, -61
192.168.4.7, 46304, -60
192.168.4.7, 46320, -58
192.168.4.7, 46352, -57
192.168.4.7, 46368, -59
192.168.4.7, 46400, -57
192.168.4.7, 46416, -59
192.168.4.7, 46464, -57
192.168.4.7, 46480, -57
192.168.4.7, 46512, -59
192.168.4.7, 46528, -57
192.168.4.7, 46576, -57
192.168.4.7, 46592, -56
192.168.4.7, 46608, -56
192.168.4.7, 46640, -57
192.168.4.7, 46672, -57
192.168.4.7, 46688, -57
192.168.4.7, 46720, -59
192.168.4.7, 46768, -59
192.168.4.9, 59184, -54
192.168.4.9, 59200, -55
192.168.4.9, 59216, -54
192.168.4.9, 59232, -55
192.168.4.9, 59248, -55
192.168.4.9, 59264, -55
192.168.4.9, 59280, -58
192.168.4.9, 59328, -62
192.168.4.9, 59344, -60
192.168.4.9, 59360, -58
192.168.4.9, 59376, -53
192.168.4.9, 59424, -55
192.168.4.9, 59472, -55
192.168.4.9, 59488, -55
192.168.4.9, 59504, -54
192.168.4.9, 59520, -53
192.168.4.9, 59536, -54
192.168.4.9, 59552, -54
192.168.4.9, 59568, -55
192.168.4.9, 59584, -55
192.168.4.9, 59600, -53
192.168.4.9, 59616, -53
192.168.4.9, 59632, -54
192.168.4.9, 59648, -54
192.168.4.9, 59680, -53
192.168.4.9, 59696, -54
192.168.4.9, 59712, -54
192.168.4.9, 59728, -54
192.168.4.9, 59744, -54
192.168.4.9, 59760, -54
192.168.4.9, 59776, -54
192.168.4.9, 59792, -53
192.168.4.9, 59808, -54
192.168.4.9, 59840, -56
192.168.4.9, 59856, -55
192.168.4.9, 59888, -53
192.168.4.9, 59952, -55
192.168.4.9, 59968, -56
192.168.4.9, 60000, -56
192.168.4.9, 60032, -55
192.168.4.9, 60048, -55
192.168.4.9, 60096, -56
192.168.4.9, 60144, -54
192.168.4.9, 60176, -54
192.168.4.9, 60192, -55
192.168.4.9, 60208, -55
192.168.4.9, 60224, -55
192.168.4.9, 60256, -54
192.168.4.9, 60304, -56
192.168.4.9, 60320, -56
192.168.4.9, 60336, -54
192.168.4.9, 60352, -55
192.168.4.9, 60368, -56
192.168.4.9, 60400, -56
192.168.4.9, 60432, -56
192.168.4.9, 60464, -54
192.168.4.9, 60496, -54
192.168.4.9, 60512, -55
192.168.4.9, 60528, -57
192.168.4.9, 60544, -55
192.168.4.11, 47008, -71
192.168.4.11, 47024, -71
192.168.4.11, 47040, -70
192.168.4.11, 47056, -71
192.168.4.11, 47072, -74
192.168.4.11, 47088, -71
192.168.4.11, 47120, -70
192.168.4.11, 47136, -73
192.168.4.11, 47152, -74
192.168.4.11, 47168, -75
192.168.4.11, 47200, -74
192.168.4.11, 47232, -74
192.168.4.11, 47264, -71
192.168.4.11, 47280, -73
192.168.4.11, 47296, -74
192.168.4.11, 47312, -73
192.168.4.11, 47328, -72
192.168.4.11, 47344, -73
192.168.4.11, 47360, -67
192.168.4.11, 47376, -70
192.168.4.11, 47392, -70
192.168.4.11, 47424, -72
192.168.4.11, 47456, -72
192.168.4.11, 47472, -73
192.168.4.11, 47488, -72
192.168.4.11, 47520, -73
192.168.4.11, 47536, -72
192.168.4.11, 47552, -72
192.168.4.11, 47568, -68
192.168.4.11, 47600, -68
192.168.4.5, 45024, -60
192.168.4.5, 45040, -61
192.168.4.5, 45056, -59
192.168.4.5, 45088, -61
192.168.4.5, 45104, -58
192.168.4.5, 45120, -59
192.168.4.5, 45136, -57
192.168.4.5, 45184, -58
192.168.4.5, 45200, -59
192.168.4.5, 45216, -61
192.168.4.5, 45232, -59
192.168.4.5, 45280, -59
192.168.4.5, 45312, -61
192.168.4.5, 45328, -62
192.168.4.5, 45344, -64
192.168.4.5, 45360, -61
192.168.4.5, 45376, -60
192.168.4.5, 45392, -61
192.168.4.5, 45440, -59
192.168.4.5, 45456, -63
192.168.4.5, 45504, -62
192.168.4.5, 45520, -64
192.168.4.5, 45536, -72
192.168.4.5, 45552, -74
192.168.4.5, 45568, -69
192.168.4.5, 45584, -68
192.168.4.5, 45600, -71
192.168.4.5, 45616, -60
192.168.4.5, 45664, -60
192.168.4.5, 45680, -59
192.168.4.11, 47616, -69
192.168.4.11, 47648, -72
192.168.4.11, 47696, -71
192.168.4.11, 47744, -73
192.168.4.11, 47760, -73
192.168.4.11, 47776, -74
192.168.4.11, 47792, -74
192.168.4.11, 47872, -72
192.168.4.11, 47888, -73
192.168.4.11, 47920, -72
192.168.4.11, 47968, -72
192.168.4.11, 47984, -71
192.168.4.11, 48000, -75
192.168.4.11, 48016, -72
192.168.4.11, 48032, -74
192.168.4.11, 48064, -73
192.168.4.11, 48080, -72
192.168.4.11, 48096, -72
192.168.4.11, 48112, -71
192.168.4.11, 48176, -68
192.168.4.11, 48208, -71
192.168.4.11, 48240, -71
192.168.4.11, 48256, -67
192.168.4.11, 48272, -70
192.168.4.11, 48304, -70
192.168.4.11, 48320, -70
192.168.4.11, 48352, -72
192.168.4.11, 48384, -68
192.168.4.11, 48400, -69
192.168.4.11, 48416, -69
192.168.4.11, 48432, -73
192.168.4.11, 48464, -74
192.168.4.11, 48480, -75
192.168.4.11, 48496, -75
192.168.4.11, 48528, -74
192.168.4.11, 48544, -76
192.168.4.11, 48560, -76
192.168.4.11, 48576, -77
192.168.4.11, 48592, -75
192.168.4.11, 48608, -76
192.168.4.11, 48624, -78
192.168.4.11, 48640, -79
192.168.4.11, 48704, -76
192.168.4.11, 48720, -81
192.168.4.11, 48752, -80
192.168.4.11, 48816, -76
192.168.4.11, 48848, -75
192.168.4.11, 48864, -81
192.168.4.11, 48880, -79
192.168.4.11, 48896, -81
192.168.4.11, 48912, -79
192.168.4.11, 48928, -79
192.168.4.11, 48944, -82
192.168.4.11, 48960, -81
192.168.4.11, 48976, -82
192.168.4.11, 48992, -82
192.168.4.11, 49008, -77
192.168.4.11, 49040, -75
192.168.4.11, 49056, -76
192.168.4.11, 49072, -74
192.168.4.7, 46816, -60
192.168.4.7, 46864, -60
192.168.4.7, 46880, -61
192.168.4.7, 46896, -60
192.168.4.7, 46928, -60
192.168.4.7, 46960, -60
192.168.4.7, 46992, -56
192.168.4.7, 47008, -58
192.168.4.7, 47024, -57
192.168.4.7, 47040, -57
192.168.4.7, 47056, -57
192.168.4.7, 47072, -56
192.168.4.7, 47088, -57
192.168.4.7, 47120, -56
192.168.4.7, 47136, -57
192.168.4.7, 47152, -57
192.168.4.7, 47168, -57
192.168.4.7, 47184, -57
192.168.4.7, 47200, -59
192.168.4.7, 47232, -58
192.168.4.7, 47264, -59
192.168.4.7, 47280, -59
192.168.4.7, 47296, -59
192.168.4.7, 47312, -59
192.168.4.7, 47328, -59
192.168.4.7, 47344, -59
192.168.4.7, 47376, -59
192.168.4.7, 47392, -56
192.168.4.7, 47424, -59
192.168.4.7, 47488, -59
192.168.4.10, 60304, -60
192.168.4.10, 60320, -61
192.168.4.10, 60336, -59
192.168.4.10, 60352, -61
192.168.4.10, 60368, -59
192.168.4.10, 60400, -61
192.168.4.10, 60432, -61
192.168.4.10, 60464, -61
192.168.4.10, 60496, -61
192.168.4.10, 60512, -60
192.168.4.10, 60528, -62
192.168.4.10, 60544, -61
192.168.4.10, 60560, -61
192.168.4.10, 60576, -61
192.168.4.10, 60624, -61
192.168.4.10, 60656, -61
192.168.4.10, 60672, -62
192.168.4.10, 60688, -61
192.168.4.10, 60720, -62
192.168.4.10, 60736, -59
192.168.4.10, 60752, -61
192.168.4.10, 60768, -60
192.168.4.10, 60784, -59
192.168.4.10, 60800, -59
192.168.4.10, 60816, -61
192.168.4.10, 60832, -59
192.168.4.10, 60848, -58
192.168.4.10, 60864, -58
192.168.4.10, 60880, -58
192.168.4.10, 60896, -59
192.168.4.11, 49088, -76
192.168.4.11, 49104, -80
192.168.4.11, 49152, -82
192.168.4.11, 49184, -79
192.168.4.11, 49200, -79
192.168.4.11, 49232, -73
192.168.4.11, 49248, -74
192.168.4.11, 49264, -74
192.168.4.11, 49280, -75
192.168.4.11, 49296, -75
192.168.4.11, 49312, -78
192.168.4.11, 49328, -79
192.168.4.11, 49344, -80
192.168.4.11, 49392, -70
192.168.4.11, 49424, -77
192.168.4.11, 49440, -73
192.168.4.11, 49456, -75
192.168.4.11, 49488, -82
192.168.4.11, 49504, -80
192.168.4.11, 49568, -73
192.168.4.11, 49616, -76
192.168.4.11, 49664, -79
192.168.4.11, 49712, -78
192.168.4.11, 49744, -71
192.168.4.11, 49760, -73
192.168.4.11, 49776, -79
192.168.4.11, 49792, -76
192.168.4.11, 49808, -74
192.168.4.11, 49824, -76
192.168.4.11, 49856, -73
192.168.4.5, 45696, -60
192.168.4.5, 45728, -63
192.168.4.5, 45760, -63
192.168.4.5, 45776, -62
192.168.4.5, 45792, -60
192.168.4.5, 45824, -59
192.168.4.5, 45840, -59
192.168.4.5, 45888, -60
192.168.4.5, 45920, -60
192.168.4.5, 45936, -60
192.168.4.5, 45968, -61
192.168.4.5, 45984, -60
192.168.4.5, 46000, -59
192.168.4.5, 46048, -59
192.168.4.5, 46096, -60
192.168.4.5, 46112, -61
192.168.4.5, 46128, -61
192.168.4.5, 46144, -60
192.168.4.5, 46160, -60
192.168.4.5, 46176, -61
192.168.4.5, 46192, -59
192.168.4.5, 46208, -60
192.168.4.5, 46224, -60
192.168.4.5, 46256, -62
192.168.4.5, 46288, -61
192.168.4.5, 46304, -62
192.168.4.5, 46320, -61
192.168.4.5, 46336, -61
192.168.4.5, 46352, -61
192.168.4.5, 46368, -62
192.168.4.9, 60560, -53
192.168.4.9, 60576, -53
192.168.4.9, 60624, -54
192.168.4.9, 60656, -54
192.168.4.9, 60672, -54
192.168.4.9, 60688, -55
192.168.4.9, 60720, -54
192.168.4.9, 60736, -54
192.168.4.9, 60752, -54
192.168.4.9, 60768, -53
192.168.4.9, 60784, -53
192.168.4.9, 60800, -54
192.168.4.9, 60816, -54
192.168.4.9, 60832, -53
192.168.4.9, 60848, -53
192.168.4.9, 60864, -55
192.168.4.9, 60880, -53
192.168.4.9, 60896, -53
192.168.4.9, 60928, -55
192.168.4.9, 60976, -54
192.168.4.9, 4294967226, 1
192.168.4.10, 60928, -59
192.168.4.10, 60976, -59
192.168.4.10, 61008, -60
192.168.4.10, 61024, -60
192.168.4.10, 61040, -60
192.168.4.10, 61056, -60
192.168.4.10, 61088, -59
192.168.4.10, 61104, -60
192.168.4.10, 61120, -58
192.168.4.10, 61136, -59
192.168.4.10, 61168, -60
192.168.4.10, 61184, -62
192.168.4.10, 61200, -60
192.168.4.10, 61216, -59
192.168.4.10, 61232, -62
192.168.4.10, 61264, -62
192.168.4.10, 61280, -61
192.168.4.10, 61296, -61
192.168.4.10, 61312, -61
192.168.4.10, 61328, -61
192.168.4.10, 61360, -62
192.168.4.10, 61376, -62
192.168.4.10, 61392, -64
192.168.4.10, 61408, -62
192.168.4.10, 61424, -61
192.168.4.10, 61440, -61
192.168.4.10, 61456, -61
192.168.4.10, 61536, -62
192.168.4.10, 61568, -62
192.168.4.10, 61600, -62
192.168.4.5, 46416, -63
192.168.4.5, 46464, -62
192.168.4.5, 46480, -61
192.168.4.5, 46512, -60
192.168.4.5, 46528, -58
192.168.4.5, 46544, -60
192.168.4.5, 46576, -60
192.168.4.5, 46592, -56
192.168.4.5, 46608, -58
192.168.4.5, 46640, -57
192.168.4.5, 46656, -57
192.168.4.5, 46672, -56
192.168.4.5, 46688, -57
192.168.4.5, 46720, -57
192.168.4.5, 46768, -56
192.168.4.5, 46816, -57
192.168.4.5, 46864, -59
192.168.4.5, 46880, -57
192.168.4.5, 46896, -57
192.168.4.5, 46928, -56
192.168.4.5, 46944, -57
192.168.4.5, 46960, -58
192.168.4.5, 46976, -56
192.168.4.5, 46992, -57
192.168.4.5, 47008, -57
192.168.4.5, 47024, -56
192.168.4.5, 47040, -58
192.168.4.5, 47056, -58
192.168.4.5, 47072, -56
192.168.4.5, 47088, -56
192.168.4.11, 49904, -77
192.168.4.11, 49920, -76
192.168.4.11, 49936, -78
192.168.4.11, 49952, -73
192.168.4.11, 49968, -79
192.168.4.11, 50016, -75
192.168.4.11, 50032, -77
192.168.4.11, 50048, -75
192.168.4.11, 50080, -82
192.168.4.11, 50144, -82
192.168.4.11, 50192, -79
192.168.4.11, 50208, -76
192.168.4.11, 50256, -72
192.168.4.11, 50272, -71
192.168.4.11, 50288, -73
192.168.4.11, 50304, -73
192.168.4.11, 50320, -75
192.168.4.11, 50336, -75
192.168.4.11, 50368, -78
192.168.4.11, 50400, -77
192.168.4.11, 50448, -79
192.168.4.11, 50464, -79
192.168.4.11, 50512, -83
192.168.4.11, 50608, -73
192.168.4.11, 50624, -73
192.168.4.11, 50640, -65
192.168.4.11, 50656, -67
192.168.4.11, 50672, -71
192.168.4.11, 50688, -75
192.168.4.11, 50720, -72
192.168.4.3, 55872, -58
192.168.4.3, 55888, -57
192.168.4.3, 55904, -56
192.168.4.3, 55936, -56
192.168.4.3, 55952, -56
192.168.4.3, 55968, -55
192.168.4.3, 56016, -55
192.168.4.3, 56048, -57
192.168.4.3, 56096, -57
192.168.4.3, 56144, -56
192.168.4.3, 56160, -56
192.168.4.3, 56176, -57
192.168.4.3, 56192, -56
192.168.4.3, 56208, -55
192.168.4.3, 56224, -57
192.168.4.3, 56240, -58
192.168.4.3, 56256, -57
192.168.4.3, 56288, -57
192.168.4.3, 56400, -57
192.168.4.3, 56432, -56
192.168.4.3, 56512, -57
192.168.4.3, 56528, -57
192.168.4.3, 56560, -52
192.168.4.3, 56576, -52
192.168.4.3, 56592, -54
192.168.4.3, 56608, -54
192.168.4.3, 56624, -55
192.168.4.3, 56640, -54
192.168.4.3, 56656, -55
192.168.4.3, 56688, -57
192.168.4.7, 47520, -59
192.168.4.7, 47536, -59
192.168.4.7, 47552, -59
192.168.4.7, 47568, -60
192.168.4.7, 47600, -58
192.168.4.7, 47616, -57
192.168.4.7, 47648, -59
192.168.4.7, 47696, -58
192.168.4.7, 47744, -59
192.168.4.7, 47760, -59
192.168.4.7, 47776, -59
192.168.4.7, 47792, -56
192.168.4.7, 47872, -57
192.168.4.7, 47968, -58
192.168.4.7, 47984, -57
192.168.4.7, 48000, -58
192.168.4.7, 48016, -57
192.168.4.7, 48032, -56
192.168.4.7, 48064, -58
192.168.4.7, 48080, -58
192.168.4.7, 48096, -57
192.168.4.7, 48112, -60
192.168.4.7, 48176, -60
192.168.4.7, 48208, -60
192.168.4.7, 48240, -59
192.168.4.7, 48256, -59
192.168.4.7, 48272, -59
192.168.4.7, 48304, -58
192.168.4.7, 48320, -59
192.168.4.7, 48352, -58
192.168.4.3, 56704, -57
192.168.4.3, 56720, -64
192.168.4.3, 56736, -64
192.168.4.3, 56752, -69
192.168.4.3, 56784, -61
192.168.4.3, 56848, -61
192.168.4.3, 56864, -65
192.168.4.3, 56880, -62
192.168.4.3, 56912, -62
192.168.4.3, 56960, -61
192.168.4.3, 56992, -65
192.168.4.3, 57008, -67
192.168.4.3, 57024, -70
192.168.4.3, 57072, -71
192.168.4.3, 57088, -82
192.168.4.3, 57152, -70
192.168.4.3, 57168, -68
192.168.4.3, 57184, -81
192.168.4.3, 57200, -70
192.168.4.3, 57216, -68
192.168.4.3, 57232, -72
192.168.4.3, 57248, -70
192.168.4.3, 57264, -69
192.168.4.3, 57312, -71
192.168.4.3, 57376, -81
192.168.4.3, 57408, -74
192.168.4.3, 57472, -84
192.168.4.3, 57504, -73
192.168.4.3, 57552, -82
192.168.4.3, 57584, -72
192.168.4.3, 57600, -83
192.168.4.3, 57632, -71
192.168.4.3, 57648, -68
192.168.4.3, 57680, -88
192.168.4.3, 57696, -76
192.168.4.3, 57712, -71
192.168.4.3, 57728, -76
192.168.4.3, 57744, -71
192.168.4.3, 57760, -68
192.168.4.3, 57776, -82
192.168.4.3, 57824, -75
192.168.4.3, 57888, -68
192.168.4.3, 57904, -68
192.168.4.3, 57936, -78
192.168.4.3, 57952, -68
192.168.4.3, 57968, -79
192.168.4.3, 58000, -71
192.168.4.3, 58016, -81
192.168.4.3, 58032, -86
192.168.4.3, 58064, -82
192.168.4.3, 58256, -72
192.168.4.3, 58288, -73
192.168.4.3, 58304, -76
192.168.4.3, 58336, -86
192.168.4.3, 58368, -84
192.168.4.3, 58384, -77
192.168.4.3, 58416, -87
192.168.4.3, 58432, -76
192.168.4.3, 58528, -84
192.168.4.3, 58560, -77
192.168.4.5, 47120, -58
192.168.4.5, 47136, -56
192.168.4.5, 47152, -58
192.168.4.5, 47168, -57
192.168.4.5, 47184, -58
192.168.4.5, 47200, -57
192.168.4.5, 47232, -59
192.168.4.5, 47264, -57
192.168.4.5, 47280, -59
192.168.4.5, 47296, -58
192.168.4.5, 47312, -59
192.168.4.5, 47328, -59
192.168.4.5, 47344, -59
192.168.4.5, 47360, -58
192.168.4.5, 47376, -59
192.168.4.5, 47392, -56
192.168.4.5, 47424, -59
192.168.4.5, 47456, -60
192.168.4.5, 47472, -76
192.168.4.5, 47488, -61
192.168.4.5, 47520, -61
192.168.4.5, 47536, -59
192.168.4.5, 47552, -60
192.168.4.5, 47568, -60
192.168.4.5, 47600, -58
192.168.4.5, 47616, -57
192.168.4.5, 47648, -56
192.168.4.5, 47696, -60
192.168.4.5, 47744, -57
192.168.4.5, 47760, -57
192.168.4.12, 30016, -38
192.168.4.12, 30032, -37
192.168.4.12, 30048, -38
192.168.4.12, 30064, -37
192.168.4.12, 30080, -39
192.168.4.12, 30096, -36
192.168.4.12, 30112, -35
192.168.4.12, 30128, -36
192.168.4.12, 30144, -35
192.168.4.12, 30176, -35
192.168.4.12, 30192, -37
192.168.4.12, 30224, -37
192.168.4.12, 30240, -37
192.168.4.12, 30256, -36
192.168.4.12, 30288, -35
192.168.4.12, 30304, -36
192.168.4.12, 30320, -36
192.168.4.12, 30352, -38
192.168.4.12, 30368, -35
192.168.4.12, 30384, -35
192.168.4.12, 30400, -36
192.168.4.12, 30416, -36
192.168.4.12, 30432, -37
192.168.4.12, 30448, -36
192.168.4.12, 30464, -37
192.168.4.12, 30480, -36
192.168.4.12, 30496, -35
192.168.4.12, 30512, -35
192.168.4.12, 30544, -36
192.168.4.12, 30576, -35
192.168.4.12, 30592, -35
192.168.4.12, 30608, -35
192.168.4.12, 30624, -36
192.168.4.12, 30640, -35
192.168.4.12, 30656, -37
192.168.4.12, 30672, -35
192.168.4.12, 30688, -36
192.168.4.12, 30704, -37
192.168.4.12, 30720, -36
192.168.4.12, 30736, -36
192.168.4.12, 30752, -37
192.168.4.12, 30768, -36
192.168.4.12, 30784, -36
192.168.4.12, 30800, -36
192.168.4.12, 30816, -35
192.168.4.12, 30848, -37
192.168.4.12, 30864, -36
192.168.4.12, 30880, -35
192.168.4.12, 30896, -65
192.168.4.12, 30912, -35
192.168.4.12, 30928, -35
192.168.4.12, 30944, -35
192.168.4.12, 30960, -35
192.168.4.12, 30976, -35
192.168.4.12, 30992, -36
192.168.4.12, 31008, -35
192.168.4.12, 31024, -37
192.168.4.12, 31040, -37
192.168.4.12, 31056, -36
192.168.4.12, 31072, -36
192.168.4.12, 31088, -36
192.168.4.12, 31120, -35
192.168.4.12, 31168, -35
192.168.4.12, 31200, -37
192.168.4.12, 31232, -37
192.168.4.12, 31248, -35
192.168.4.12, 31280, -35
192.168.4.12, 31296, -35
192.168.4.12, 31312, -36
192.168.4.12, 31328, -37
